字詞號,字詞名,字圖所在欄位,字圖檔名
01521,&98ab._104_0.gif;,字詞名,&98ab._104_0.gif;
08125,&8ff0._104_0.gif;,字詞名,&8ff0._104_0.gif;
015210001,&98ab._104_0.gif;佬族,字詞名,&98ab._104_0.gif;
07063-2,&99bc._104_0.gif;,字詞名,&99bc._104_0.gif;
08125002,&8ff0._104_0.gif;族,字詞名,&8ff0._104_0.gif;
10650-1,&9677._104_0.gif;,字詞名,&9677._104_0.gif;
11723-2,&96f9._104_0.gif;,字詞名,&96f9._104_0.gif;
00451,藨,釋義,&9A6C._104_0.gif;
01521,&98ab._104_0.gif;,釋義,&98ab._104_0.gif;
03016,妳,釋義,&f2f82_.png;
03412,釃,釋義,&4364_.gif;
03609,湅,釋義,&91dd._104_0.gif;
03759,盝,釋義,&91dd._104_0.gif;
06883,岈,釋義,&f578f_.png;
08885,捎,釋義,&f50fc_.gif;
09142,涗,釋義,&91dd._104_0.gif;
10594,衣,釋義,&f5fd4_.png;
0002300121,把飯叫饑,釋義,&22471_.gif;
000410017,撥蠟法,釋義,&22471_.gif;
0025802173,半夜敲門心不驚,釋義,&f470c_.gif;
0025802173,半夜敲門心不驚,釋義,&f1825_.gif;
005660135,布署,釋義,&f1062_.gif;
013720003,冪級數,釋義,&975d._104_0.gif;
024640008,苔紙,釋義,&024640008a_.gif;
034830002,隸變,釋義,&9868._104_0.gif;
037930036,羅馬數字,釋義,&9a74._104_0.gif;
044290003,咳唾成珠,釋義,&3898_.gif;
050480013,禍福倚伏,釋義,&f446a_.gif;
052660031,宏儒碩學,釋義,&f2d9e_.gif;
052660031,宏儒碩學,釋義,&f04fb_.gif;
052660031,宏儒碩學,釋義,&f2fe4_.gif;
060500056,聚蚊成雷,釋義,&f68d1_.gif;
0632000081,掐住,釋義,&f6717_.gif;
066580022,缺項,釋義,&9a73._104_0.gif;
074020002,熏風,釋義,&f446a_.gif;
074020002,熏風,釋義,&f16ad_.gif;
075310154,指數函數,釋義,&9b46._104_0.gif;
081230046,壯族,釋義,&8ff0._104_0.gif;
0867600031,衝犯,釋義,&f1834_.gif;
0869100681,施予,釋義,&f021a_.gif;
0869100681,施予,釋義,&20a64_.gif;
088400040,設色,釋義,&91dd._104_0.gif;
104030009,偶函數,釋義,&9a73._104_0.gif;
104110250,安枕,釋義,&f2bd4_.gif;
108690062,幽險,釋義,&2f940_.gif;
109050144,有理方程式,釋義,&9a73._104_0.gif;
109050145,有理函數,釋義,&9a73._104_0.gif;
117260007,約分,釋義,&9a73._104_0.gif;
119060041,彰揚,釋義,&f4037_.gif;
119060046,瘜肉,釋義,&f65b0_.gif;
072400191,行志,釋義,&f2c42_.png;
07483,隻,釋義,&f4ff2_.png;
078150009,珍貴,釋義,&3558_.png;
113900006,微末,釋義,&f7d94_.png;
002390005,班班可考,釋義,&f0bc1_.png;
